                 Decay                   Y(i)      E(i)     Delta(i)
Nuclide  T1/2    Mode       Auger Line  (/nt)      (MeV)    Gy kg/nt
--------------------------------------------------------------------
                            Auger LMX  1.41E-02  2.333E-03  5.26E-18
                            Auger LXY  6.35E-04  2.642E-03  2.69E-19
                            CK MMX     7.09E-01  1.142E-04  1.30E-17
                            Auger MNN  1.08E+00  2.061E-04  3.58E-17
                            Auger MNX  8.96E-03  2.463E-04  3.53E-19
                            CK NNX     2.47E+00  2.961E-05  1.17E-17
                            Auger KLL  1.76E-06  1.616E-02  4.55E-21
                            Auger KLX  6.76E-07  1.870E-02  2.03E-21
                            Auger KXY  6.27E-08  2.124E-02  2.13E-22
                            CK LLX     2.48E-06  1.068E-04  4.25E-23
                            Auger LMM  1.22E-05  2.159E-03  4.21E-21
                            Auger LMX  2.08E-06  2.468E-03  8.21E-22
                            Auger LXY  9.94E-08  2.804E-03  4.47E-23
                            CK MMX     1.27E-05  1.147E-04  2.33E-22
                            Auger MNN  3.09E-05  2.318E-04  1.15E-21
                            Auger MNX  2.26E-07  2.768E-04  1.00E-23
                            CK NNX     5.57E-05  3.147E-05  2.81E-22
                                                      Total 1.51E-16
Ru-97   2.9 d EC            Auger KLL  1.40E-01  1.542E-02  3.46E-16
                            Auger KLX  5.29E-02  1.782E-02  1.51E-16
                            Auger KXY  4.82E-03  2.023E-02  1.56E-17
                            CK LLX     2.03E-01  1.067E-04  3.47E-18
                            Auger LMM  8.51E-01  2.054E-03  2.80E-16
                            Auger LMX  1.33E-01  2.333E-03  4.95E-17
                            Auger LXY  5.98E-03  2.642E-03  2.53E-18
                            CK MMX     8.90E-01  1.102E-04  1.57E-17
                            Auger MNN  2.16E+00  2.039E-04  7.06E-17
                            Auger MNX  1.81E-02  2.476E-04  7.19E-19
                            CK NNX     4.27E+00  2.940E-05  2.01E-17
                                                      Total 9.55E-16
Ru-103  39.26 d B+          Auger KLL  1.73E-03  1.691E-02  4.68E-18
                            Auger KLX  6.76E-04  1.960E-02  2.12E-18
                            Auger KXY  6.38E-05  2.228E-02  2.28E-19
                            CK LLX     2.70E-03  1.105E-04  4.77E-20
                            Auger LMM  1.14E-02  2.267E-03  4.15E-18
                            Auger LMX  2.12E-03  2.608E-03  8.85E-19
                            Auger LXY  1.08E-04  2.972E-03  5.13E-20
                            CK MMX     1.20E-02  1.183E-04  2.28E-19
                            Auger MNN  2.95E-02  2.603E-04  1.23E-18
                            Auger MNX  1.92E-04  3.076E-04  9.46E-21
                            CK NNX     4.92E-02  3.353E-05  2.64E-19
                                                      Total 1.39E-17
Ru-105  4.44 h B+           Auger KLL  2.06E-02  1.691E-02  5.59E-17
                            Auger KLX  8.08E-03  1.960E-02  2.54E-17
                            Auger KXY  7.62E-04  2.228E-02  2.72E-18
                            CK LLX     3.32E-02  1.098E-04  5.83E-19
                            Auger LMM  1.76E-01  2.269E-03  6.38E-17
                            Auger LMX  3.25E-02  2.610E-03  1.36E-17
                            Auger LXY  1.65E-03  2.974E-03  7.88E-19
                            CK MMX     1.84E-01  1.191E-04  3.52E-18
                            Auger MNN  4.46E-01  2.603E-04  1.86E-17
                            Auger MNX  2.90E-03  3.068E-04  1.43E-19
                            CK NNX     7.47E-01  3.356E-05  4.01E-18
                                                      Total 1.89E-16
Rh-100  20.8 h EC B-        Auger KLL  1.21E-01  1.616E-02  3.12E-16
                            Auger KLX  4.64E-02  1.870E-02  1.39E-16
                            Auger KXY  4.31E-03  2.124E-02  1.47E-17
                            CK LLX     1.87E-01  1.080E-04  3.23E-18
                            Auger LMM  7.68E-01  2.159E-03  2.66E-16
                            Auger LMX  1.31E-01  2.468E-03  5.18E-17
                            Auger LXY  6.27E-03  2.805E-03  2.82E-18
                            CK MMX     8.05E-01  1.142E-04  1.47E-17
                            Auger MNN  1.97E+00  2.319E-04  7.32E-17
                            Auger MNX  1.45E-02  2.774E-04  6.44E-19
                            CK NNX     3.56E+00  3.145E-05  1.79E-17
                                                      Total 8.96E-16
Rh-103m 56.114 m IT         Auger KLL  1.22E-02  1.691E-02  3.31E-17
                            Auger KLX  4.79E-03  1.960E-02  1.50E-17
                            Auger KXY  4.51E-04  2.228E-02  1.61E-18
                            CK LLX     6.00E-02  1.064E-04  1.02E-18
                            Auger LMM  6.48E-01  2.269E-03  2.36E-16
                            Auger LMX  1.20E-01  2.609E-03  5.02E-17
                            Auger LXY  6.10E-03  2.972E-03  2.91E-18
                            CK MMX     6.87E-01  1.204E-04  1.32E-17
                            Auger MNN  1.62E+00  2.602E-04  6.74E-17
                            Auger MNX  1.05E-02  3.053E-04  5.12E-19
                            CK NNX     2.71E+00  3.361E-05  1.46E-17
                                                      Total 4.35E-16
Rh-105  35.36 h B+          Auger KLL  6.29E-04  1.769E-02  1.78E-18
                            Auger KLX  2.49E-04  2.052E-02  8.20E-19
                            Auger KXY  2.38E-05  2.336E-02  8.92E-20
                            CK LLX     1.03E-03  1.217E-04  2.00E-20
                            Auger LMM  4.33E-03  2.382E-03  1.65E-18
                            Auger LMX  8.78E-04  2.757E-03  3.88E-19
                            Auger LXY  4.76E-05  3.150E-03  2.40E-20
                            CK MMX     4.58E-03  1.262E-04  9.26E-20
                            Auger MNN  1.13E-02  2.928E-04  5.32E-19
                            CK NNX     1.74E-02  3.820E-05  1.07E-19
                                                      Total 5.51E-18
Pd-100  3.63 d EC           Auger KLL  2.09E-01  1.691E-02  5.67E-16
                            Auger KLX  8.19E-02  1.960E-02  2.57E-16
                            Auger KXY  7.72E-03  2.228E-02  2.76E-17
                            CK LLX     3.50E-01  1.106E-04  6.21E-18
                            Auger LMM  1.42E+00  2.267E-03  5.17E-16
                            Auger LMX  2.64E-01  2.608E-03  1.10E-16
                            Auger LXY  1.34E-02  2.972E-03  6.39E-18
                            CK MMX     1.50E+00  1.182E-04  2.85E-17
                            Auger MNN  3.69E+00  2.604E-04  1.54E-16
                            Auger MNX  2.40E-02  3.078E-04  1.19E-18
                            CK NNX     6.16E+00  3.352E-05  3.31E-17
                                                      Total 1.71E-15
Pd-103  16.991 d EC         Auger KLL  1.15E-01  1.691E-02  3.12E-16
                            Auger KLX  4.51E-02  1.960E-02  1.42E-16
                            Auger KXY  4.25E-03  2.228E-02  1.52E-17
                            CK LLX     1.92E-01  1.106E-04  3.41E-18
                            Auger LMM  7.70E-01  2.267E-03  2.80E-16
                            Auger LMX  1.43E-01  2.608E-03  5.97E-17
                            Auger LXY  7.26E-03  2.972E-03  3.46E-18
                            CK MMX     8.15E-01  1.181E-04  1.54E-17
                            Auger MNN  2.00E+00  2.604E-04  8.32E-17
                            Auger MNX  1.30E-02  3.079E-04  6.42E-19
                            CK NNX     3.34E+00  3.352E-05  1.79E-17
                                                      Total 9.32E-16
Pd-109  13.7012 h B+        Auger KLL  4.76E-02  1.847E-02  1.41E-16
                            Auger KLX  1.92E-02  2.146E-02  6.62E-17
                            Auger KXY  1.87E-03  2.445E-02  7.33E-18
                            CK LLX     9.95E-02  1.344E-04  2.14E-18
                            Auger LMM  6.49E-01  2.497E-03  2.59E-16
                            Auger LMX  1.41E-01  2.904E-03  6.54E-17
                            Auger LXY  8.08E-03  3.329E-03  4.31E-18
                            CK MMX     6.92E-01  1.286E-04  1.43E-17
                            Auger MNN  1.67E+00  3.189E-04  8.51E-17
                            Auger MNX  8.60E-03  3.692E-04  5.09E-19
                            CK NNX     2.45E+00  3.790E-05  1.49E-17
                                                      Total 6.61E-16
Ag-109m 39.6 s IT           Auger KLL  4.74E-02  1.847E-02  1.40E-16
                            Auger KLX  1.92E-02  2.146E-02  6.59E-17
                            Auger KXY  1.86E-03  2.445E-02  7.30E-18
                            CK LLX     9.91E-02  1.344E-04  2.13E-18
                            Auger LMM  6.46E-01  2.497E-03  2.58E-16
                            Auger LMX  1.40E-01  2.904E-03  6.51E-17
                            Auger LXY  8.05E-03  3.329E-03  4.29E-18
                            CK MMX     6.89E-01  1.286E-04  1.42E-17
                            Auger MNN  1.66E+00  3.189E-04  8.47E-17
                            Auger MNX  8.56E-03  3.692E-04  5.06E-19
                            CK NNX     2.44E+00  3.790E-05  1.48E-17
                                                      Total 6.58E-16
Ag-111  7.45 d B+           Auger KLL  2.45E-04  1.928E-02  7.58E-19
                            Auger KLX  1.01E-04  2.242E-02  3.63E-19
                            Auger KXY  9.99E-06  2.558E-02  4.09E-20
                            CK LLX     4.07E-04  1.653E-04  1.08E-20
                            Auger LMM  1.88E-03  2.610E-03  7.85E-19
                            Auger LMX  4.32E-04  3.052E-03  2.11E-19
                            Auger LXY  2.62E-05  3.513E-03  1.47E-20
                            CK MMX     2.02E-03  1.283E-04  4.15E-20
                            Auger MNN  4.85E-03  3.453E-04  2.68E-19
                            Auger MNX  5.51E-05  4.025E-04  3.55E-21
                            Auger MXY  1.57E-08  7.056E-04  1.78E-24
                            CK NNX     6.93E-03  3.679E-05  4.08E-20
                            Auger NXY  1.67E-05  9.688E-05  2.59E-22
                                                      Total 2.54E-18
Cd-109  461.4 d EC          Auger KLL  1.41E-01  1.847E-02  4.18E-16
                            Auger KLX  5.70E-02  2.146E-02  1.96E-16
                            Auger KXY  5.55E-03  2.445E-02  2.17E-17
                            CK LLX     3.00E-01  1.348E-04  6.48E-18
                            Auger LMM  1.36E+00  2.496E-03  5.45E-16
                            Auger LMX  2.95E-01  2.904E-03  1.37E-16
                            Auger LXY  1.70E-02  3.330E-03  9.07E-18
                            CK MMX     1.47E+00  1.274E-04  3.01E-17
                            Auger MNN  3.56E+00  3.190E-04  1.82E-16
                            Auger MNX  1.85E-02  3.716E-04  1.10E-18
                            CK NNX     5.27E+00  3.784E-05  3.19E-17
                                                      Total 1.58E-15
Cd-115  53.46 h B+          Auger KLL  4.05E-03  2.010E-02  1.30E-17
                            Auger KLX  1.69E-03  2.341E-02  6.36E-18
                            Auger KXY  1.70E-04  2.673E-02  7.29E-19
                            CK LLX     6.40E-03  2.546E-04  2.61E-19
                            Auger LMM  3.55E-02  2.732E-03  1.55E-17
                            Auger LMX  8.66E-03  3.211E-03  4.46E-18
                            Auger LXY  5.52E-04  3.709E-03  3.28E-19
                            CK MMX     3.92E-02  1.261E-04  7.92E-19
                            Auger MNN  8.96E-02  3.706E-04  5.32E-18
                            Auger MNX  1.47E-03  4.359E-04  1.03E-19
                            Auger MXY  1.11E-06  6.391E-04  1.13E-22
                            CK NNX     1.26E-01  3.355E-05  6.77E-19
                            Auger NXY  3.60E-01  8.857E-06  5.10E-19
                                                      Total 4.81E-17
Cd-115m 44.6 d B+           Auger KLL  1.21E-05  2.010E-02  3.90E-20
                            Auger KLX  5.08E-06  2.341E-02  1.90E-20
                            Auger KXY  5.10E-07  2.673E-02  2.18E-21
                            CK LLX     1.81E-05  2.547E-04  7.39E-22
                            Auger LMM  1.01E-04  2.731E-03  4.41E-20
                            Auger LMX  2.46E-05  3.211E-03  1.27E-20
                            Auger LXY  1.57E-06  3.709E-03  9.31E-22
                            CK MMX     1.11E-04  1.261E-04  2.24E-21
                            Auger MNN  2.54E-04  3.706E-04  1.51E-20
                            Auger MNX  4.17E-06  4.358E-04  2.91E-22
                            Auger MXY  3.14E-09  6.389E-04  3.21E-25
                            CK NNX     3.57E-04  3.355E-05  1.92E-21
                            Auger NXY  1.02E-03  8.857E-06  1.45E-21
                                                      Total 1.40E-19
In-109  4.2 h EC B-         Auger KLL  9.42E-02  1.928E-02  2.91E-16
                            Auger KLX  3.87E-02  2.242E-02  1.39E-16
                            Auger KXY  3.83E-03  2.558E-02  1.57E-17
                            CK LLX     1.65E-01  1.660E-04  4.40E-18
                            Auger LMM  7.20E-01  2.610E-03  3.01E-16
                            Auger LMX  1.66E-01  3.053E-03  8.11E-17
                            Auger LXY  1.00E-02  3.515E-03  5.66E-18
                            CK MMX     7.81E-01  1.281E-04  1.60E-17
                            Auger MNN  1.87E+00  3.454E-04  1.03E-16
                            Auger MNX  2.13E-02  4.031E-04  1.37E-18
                            Auger MXY  6.34E-06  7.072E-04  7.18E-22
                            CK NNX     2.68E+00  3.678E-05  1.58E-17
                            Auger NXY  6.48E-03  9.688E-05  1.01E-19
                                                      Total 9.75E-16
In-109m 1.34 m IT           Auger KLL  5.51E-03  2.010E-02  1.78E-17
                            Auger KLX  2.31E-03  2.341E-02  8.66E-18
                            Auger KXY  2.32E-04  2.673E-02  9.94E-19
                            CK LLX     8.81E-03  2.620E-04  3.70E-19
                            Auger LMM  4.50E-02  2.735E-03  1.97E-17
                            Auger LMX  1.10E-02  3.215E-03  5.67E-18
                            Auger LXY  7.01E-04  3.714E-03  4.17E-19
                            CK MMX     5.01E-02  1.258E-04  1.01E-18
                            Auger MNN  1.14E-01  3.708E-04  6.74E-18
                            Auger MNX  1.87E-03  4.368E-04  1.31E-19
                            Auger MXY  1.46E-06  6.446E-04  1.50E-22
                            CK NNX     1.61E-01  3.353E-05  8.65E-19
                            Auger NXY  4.58E-01  8.858E-06  6.51E-19
                                                      Total 6.30E-17
In-110  4.9 h EC B-         Auger KLL  9.31E-02  1.928E-02  2.87E-16
                            Auger KLX  3.83E-02  2.242E-02  1.38E-16
                            Auger KXY  3.79E-03  2.558E-02  1.55E-17
                            CK LLX     1.65E-01  1.661E-04  4.40E-18
                            Auger LMM  7.11E-01  2.611E-03  2.97E-16
                            Auger LMX  1.64E-01  3.054E-03  8.01E-17
                            Auger LXY  9.91E-03  3.515E-03  5.58E-18
                            CK MMX     7.71E-01  1.280E-04  1.58E-17
                            Auger MNN  1.84E+00  3.454E-04  1.02E-16
                            Auger MNX  2.10E-02  4.032E-04  1.36E-18
                            Auger MXY  6.31E-06  7.075E-04  7.15E-22
                            CK NNX     2.64E+00  3.677E-05  1.56E-17
                            Auger NXY  6.41E-03  9.688E-05  9.94E-20
                                                      Total 9.63E-16
In-110m 69.1 m EC B-        Auger KLL  3.58E-02  1.928E-02  1.11E-16
                            Auger KLX  1.47E-02  2.242E-02  5.29E-17
                            Auger KXY  1.46E-03  2.558E-02  5.97E-18
                            CK LLX     6.23E-02  1.660E-04  1.66E-18
                            Auger LMM  2.72E-01  2.610E-03  1.14E-16
                            Auger LMX  6.26E-02  3.053E-03  3.06E-17
                            Auger LXY  3.79E-03  3.514E-03  2.14E-18
                            CK MMX     2.95E-01  1.281E-04  6.05E-18
                            Auger MNN  7.05E-01  3.453E-04  3.90E-17
                            Auger MNX  8.03E-03  4.031E-04  5.18E-19
                            Auger MXY  2.39E-06  7.072E-04  2.71E-22
                            CK NNX     1.01E+00  3.678E-05  5.95E-18
                            Auger NXY  2.45E-03  9.688E-05  3.80E-20
                                                      Total 3.69E-16
In-111  2.8047 d EC         Auger KLL  1.06E-01  1.928E-02  3.28E-16
                            Auger KLX  4.37E-02  2.242E-02  1.57E-16
                            Auger KXY  4.33E-03  2.558E-02  1.77E-17
                            CK LLX     1.90E-01  1.662E-04  5.07E-18
                            Auger LMM  8.16E-01  2.611E-03  3.41E-16
                            Auger LMX  1.88E-01  3.054E-03  9.19E-17
                            Auger LXY  1.14E-02  3.515E-03  6.41E-18
                            CK MMX     8.86E-01  1.280E-04  1.82E-17
                            Auger MNN  2.12E+00  3.454E-04  1.17E-16
                            Auger MNX  2.41E-02  4.032E-04  1.56E-18
                            Auger MXY  7.25E-06  7.076E-04  8.22E-22
                            CK NNX     3.04E+00  3.677E-05  1.79E-17
                            Auger NXY  7.36E-03  9.688E-05  1.14E-19
                                                      Total 1.10E-15
In-111m 7.7 m IT            Auger KLL  1.08E-02  2.010E-02  3.46E-17
                            Auger KLX  4.50E-03  2.341E-02  1.69E-17
                            Auger KXY  4.53E-04  2.673E-02  1.94E-18
                            CK LLX     1.75E-02  2.624E-04  7.34E-19
                            Auger LMM  8.87E-02  2.735E-03  3.89E-17
                            Auger LMX  2.17E-02  3.215E-03  1.12E-17
                            Auger LXY  1.38E-03  3.714E-03  8.22E-19
                            CK MMX     9.90E-02  1.258E-04  1.99E-18
                            Auger MNN  2.24E-01  3.708E-04  1.33E-17
                            Auger MNX  3.68E-03  4.369E-04  2.57E-19
                            Auger MXY  2.88E-06  6.450E-04  2.98E-22
                            CK NNX     3.18E-01  3.353E-05  1.71E-18
                            Auger NXY  9.04E-01  8.859E-06  1.28E-18
                                                      Total 1.24E-16
In-113m 1.6579 h IT         Auger KLL  2.93E-02  2.010E-02  9.43E-17
                            Auger KLX  1.23E-02  2.341E-02  4.60E-17
                            Auger KXY  1.23E-03  2.673E-02  5.28E-18
                            CK LLX     4.91E-02  2.634E-04  2.07E-18
                            Auger LMM  2.47E-01  2.735E-03  1.08E-16
                            Auger LMX  6.04E-02  3.215E-03  3.11E-17
                            Auger LXY  3.85E-03  3.715E-03  2.29E-18
                            CK MMX     2.77E-01  1.257E-04  5.57E-18
                            Auger MNN  6.24E-01  3.709E-04  3.71E-17
                            Auger MNX  1.03E-02  4.370E-04  7.19E-19
                            Auger MXY  8.07E-06  6.457E-04  8.35E-22
                            CK NNX     8.87E-01  3.353E-05  4.77E-18
                            Auger NXY  2.52E+00  8.859E-06  3.58E-18
                                                      Total 3.41E-16
In-114  71.9 s EC B- B+     Auger KLL  8.42E-08  2.093E-02  2.82E-22
                            Auger KLX  3.59E-08  2.442E-02  1.40E-22
                            Auger KXY  3.66E-09  2.790E-02  1.64E-23
                            CK LLX     1.33E-07  2.693E-04  5.76E-24
                            Auger LMM  6.93E-07  2.847E-03  3.16E-22
                            Auger LMX  1.79E-07  3.363E-03  9.62E-23
                            Auger LXY  1.18E-08  3.899E-03  7.39E-24
                            CK MMX     7.72E-07  1.240E-04  1.53E-23
                            Auger MNN  1.75E-06  3.961E-04  1.11E-22
                            Auger MNX  3.99E-08  4.696E-04  3.00E-24
                            Auger MXY  6.46E-11  6.290E-04  6.51E-27
                            CK NNX     2.40E-06  3.037E-05  1.17E-23
                            Auger NXY  6.98E-06  1.133E-05  1.27E-23
                            Auger KLL  4.61E-04  1.928E-02  1.42E-18
                            Auger KLX  1.90E-04  2.242E-02  6.81E-19
                            Auger KXY  1.88E-05  2.558E-02  7.69E-20
                            CK LLX     8.06E-04  1.660E-04  2.14E-20
                            Auger LMM  3.51E-03  2.610E-03  1.47E-18
                            Auger LMX  8.07E-04  3.053E-03  3.95E-19
                            Auger LXY  4.89E-05  3.515E-03  2.75E-20
                            CK MMX     3.80E-03  1.281E-04  7.80E-20
                            Auger MNN  9.09E-03  3.454E-04  5.03E-19
                            Auger MNX  1.03E-04  4.031E-04  6.68E-21
                            Auger MXY  3.09E-08  7.073E-04  3.50E-24
                            CK NNX     1.30E-02  3.678E-05  7.68E-20
                            Auger NXY  3.15E-05  9.688E-05  4.90E-22
                                                      Total 4.76E-18
In-114m 49.51 d EC IT       Auger KLL  3.99E-02  2.010E-02  1.29E-16
                            Auger KLX  1.67E-02  2.341E-02  6.27E-17
                            Auger KXY  1.68E-03  2.673E-02  7.20E-18
                            CK LLX     8.13E-02  2.224E-04  2.90E-18
                            Auger LMM  5.19E-01  2.734E-03  2.27E-16
                            Auger LMX  1.27E-01  3.213E-03  6.53E-17
                            Auger LXY  8.06E-03  3.709E-03  4.79E-18
                            CK MMX     5.71E-01  1.276E-04  1.17E-17
                            Auger MNN  1.32E+00  3.703E-04  7.84E-17
                            Auger MNX  2.15E-02  4.338E-04  1.50E-18
                            Auger MXY  1.49E-05  6.268E-04  1.49E-21
                            CK NNX     1.83E+00  3.364E-05  9.87E-18
                            Auger NXY  5.26E+00  8.845E-06  7.45E-18
                            Auger KLL  2.99E-03  1.928E-02  9.23E-18
                            Auger KLX  1.23E-03  2.242E-02  4.42E-18
                            Auger KXY  1.22E-04  2.558E-02  4.99E-19
                            CK LLX     5.49E-03  1.664E-04  1.46E-19
                            Auger LMM  2.30E-02  2.611E-03  9.63E-18
                            Auger LMX  5.30E-03  3.054E-03  2.59E-18
                            Auger LXY  3.21E-04  3.516E-03  1.81E-19
                            CK MMX     2.51E-02  1.280E-04  5.14E-19
                            Auger MNN  5.98E-02  3.454E-04  3.31E-18
                            Auger MNX  6.82E-04  4.035E-04  4.41E-20
                            Auger MXY  2.08E-07  7.081E-04  2.36E-23
                            CK NNX     8.59E-02  3.677E-05  5.06E-19
                            Auger NXY  2.08E-04  9.688E-05  3.24E-21
                                                      Total 6.39E-16
In-115m 4.486 h B+ IT       Auger KLL  3.99E-02  2.010E-02  1.29E-16
                            Auger KLX  1.67E-02  2.341E-02  6.27E-17
                            Auger KXY  1.68E-03  2.673E-02  7.20E-18
                            CK LLX     6.83E-02  2.640E-04  2.89E-18
                            Auger LMM  3.42E-01  2.735E-03  1.50E-16
                            Auger LMX  8.36E-02  3.216E-03  4.31E-17
                            Auger LXY  5.33E-03  3.715E-03  3.17E-18
                            CK MMX     3.83E-01  1.257E-04  7.72E-18
                            Auger MNN  8.64E-01  3.709E-04  5.13E-17
                            Auger MNX  1.42E-02  4.371E-04  9.95E-19
                            Auger MXY  1.12E-05  6.461E-04  1.16E-21
                            CK NNX     1.23E+00  3.353E-05  6.60E-18
                            Auger NXY  3.49E+00  8.859E-06  4.96E-18
                            Auger KLL  3.11E-07  2.093E-02  1.04E-21
                            Auger KLX  1.33E-07  2.442E-02  5.18E-22
                            Auger KXY  1.35E-08  2.790E-02  6.05E-23
                            CK LLX     4.99E-07  2.698E-04  2.16E-23
                            Auger LMM  2.57E-06  2.847E-03  1.17E-21
                            Auger LMX  6.61E-07  3.364E-03  3.56E-22
                            Auger LXY  4.38E-08  3.900E-03  2.74E-23
                            CK MMX     2.86E-06  1.240E-04  5.69E-23
                            Auger MNN  6.49E-06  3.962E-04  4.12E-22
                            Auger MNX  1.48E-07  4.697E-04  1.11E-23
                            Auger MXY  2.40E-10  6.295E-04  2.42E-26
                            CK NNX     8.89E-06  3.037E-05  4.32E-23
                            Auger NXY  2.59E-05  1.133E-05  4.70E-23
                                                      Total 4.69E-16
Sn-110  4.11 h EC           Auger KLL  8.72E-02  2.010E-02  2.81E-16
                            Auger KLX  3.65E-02  2.341E-02  1.37E-16
                            Auger KXY  3.67E-03  2.673E-02  1.57E-17
                            CK LLX     1.46E-01  2.662E-04  6.21E-18
                            Auger LMM  7.07E-01  2.736E-03  3.10E-16
                            Auger LMX  1.73E-01  3.217E-03  8.91E-17
                            Auger LXY  1.10E-02  3.717E-03  6.57E-18
                            CK MMX     7.96E-01  1.255E-04  1.60E-17
                            Auger MNN  1.78E+00  3.710E-04  1.06E-16
                            Auger MNX  2.94E-02  4.376E-04  2.06E-18
                            Auger MXY  2.36E-05  6.488E-04  2.45E-21
                            CK NNX     2.55E+00  3.352E-05  1.37E-17
                            Auger NXY  7.24E+00  8.860E-06  1.03E-17
                                                      Total 9.94E-16
Sn-113  115.09 d EC         Auger KLL  8.57E-02  2.010E-02  2.76E-16
                            Auger KLX  3.59E-02  2.341E-02  1.35E-16
                            Auger KXY  3.61E-03  2.673E-02  1.54E-17
                            CK LLX     1.37E-01  2.639E-04  5.77E-18
                            Auger LMM  6.86E-01  2.735E-03  3.00E-16
                            Auger LMX  1.68E-01  3.215E-03  8.64E-17
                            Auger LXY  1.07E-02  3.715E-03  6.36E-18
                            CK MMX     7.68E-01  1.256E-04  1.55E-17
                            Auger MNN  1.73E+00  3.709E-04  1.03E-16
                            Auger MNX  2.85E-02  4.372E-04  1.99E-18
                            Auger MXY  2.25E-05  6.465E-04  2.33E-21
                            CK NNX     2.46E+00  3.352E-05  1.32E-17
                            Auger NXY  7.00E+00  8.859E-06  9.94E-18
                                                      Total 9.68E-16
Sn-113m 21.4 m EC IT        Auger KLL  4.77E-02  2.093E-02  1.60E-16
                            Auger KLX  2.03E-02  2.442E-02  7.94E-17
                            Auger KXY  2.07E-03  2.790E-02  9.27E-18
                            CK LLX     1.20E-01  2.794E-04  5.37E-18
                            Auger LMM  5.73E-01  2.848E-03  2.62E-16
                            Auger LMX  1.48E-01  3.365E-03  7.97E-17
                            Auger LXY  9.81E-03  3.902E-03  6.13E-18
                            CK MMX     6.60E-01  1.235E-04  1.31E-17
                            Auger MNN  1.46E+00  3.965E-04  9.30E-17
                            Auger MNX  3.34E-02  4.709E-04  2.52E-18
                            Auger MXY  5.57E-05  6.356E-04  5.67E-21
                            CK NNX     2.03E+00  3.034E-05  9.87E-18
                            Auger NXY  5.88E+00  1.133E-05  1.07E-17
                            Auger KLL  7.66E-03  2.010E-02  2.47E-17
                            Auger KLX  3.21E-03  2.341E-02  1.20E-17
                            Auger KXY  3.22E-04  2.673E-02  1.38E-18
                            CK LLX     1.20E-02  2.630E-04  5.06E-19
                            Auger LMM  6.10E-02  2.734E-03  2.67E-17
                            Auger LMX  1.49E-02  3.215E-03  7.68E-18
                            Auger LXY  9.51E-04  3.714E-03  5.66E-19
                            CK MMX     6.82E-02  1.257E-04  1.37E-18
                            Auger MNN  1.54E-01  3.709E-04  9.15E-18
                            Auger MNX  2.53E-03  4.370E-04  1.77E-19
                            Auger MXY  1.99E-06  6.457E-04  2.06E-22
                            CK NNX     2.19E-01  3.352E-05  1.18E-18
                            Auger NXY  6.22E-01  8.859E-06  8.83E-19
                                                      Total 8.17E-16
Sn-117m 13.76 d IT          Auger KLL  7.32E-02  2.093E-02  2.45E-16
                            Auger KLX  3.12E-02  2.442E-02  1.22E-16
                            Auger KXY  3.18E-03  2.790E-02  1.42E-17
                            CK LLX     1.55E-01  2.790E-04  6.93E-18
                            Auger LMM  7.44E-01  2.848E-03  3.39E-16
                            Auger LMX  1.92E-01  3.365E-03  1.03E-16
                            Auger LXY  1.27E-02  3.902E-03  7.95E-18
                            CK MMX     8.49E-01  1.235E-04  1.68E-17
                            Auger MNN  1.89E+00  3.965E-04  1.20E-16
                            Auger MNX  4.32E-02  4.708E-04  3.26E-18
                            Auger MXY  7.17E-05  6.350E-04  7.30E-21
                            CK NNX     2.62E+00  3.034E-05  1.27E-17
                            Auger NXY  7.59E+00  1.133E-05  1.38E-17
                                                      Total 1.01E-15
Sb-118  3.6 m EC B-         Auger KLL  2.14E-02  2.093E-02  7.16E-17
                            Auger KLX  9.10E-03  2.442E-02  3.56E-17
                            Auger KXY  9.29E-04  2.790E-02  4.15E-18
                            CK LLX     3.55E-02  2.723E-04  1.55E-18
                            Auger LMM  1.77E-01  2.848E-03  8.09E-17
                            Auger LMX  4.57E-02  3.365E-03  2.46E-17
                            Auger LXY  3.03E-03  3.901E-03  1.89E-18
                            CK MMX     1.99E-01  1.239E-04  3.96E-18
                            Auger MNN  4.49E-01  3.963E-04  2.85E-17
                            Auger MNX  1.02E-02  4.702E-04  7.71E-19
                            Auger MXY  1.68E-05  6.318E-04  1.70E-21
                            CK NNX     6.17E-01  3.036E-05  3.00E-18
                            Auger NXY  1.79E+00  1.133E-05  3.26E-18
                                                      Total 2.60E-16
Sb-118m 5 h EC B-           Auger KLL  1.38E-01  2.093E-02  4.62E-16
                            Auger KLX  5.87E-02  2.442E-02  2.29E-16
                            Auger KXY  5.99E-03  2.790E-02  2.68E-17
                            CK LLX     2.21E-01  2.686E-04  9.49E-18
                            Auger LMM  1.15E+00  2.846E-03  5.26E-16
                            Auger LMX  2.97E-01  3.363E-03  1.60E-16
                            Auger LXY  1.97E-02  3.899E-03  1.23E-17
                            CK MMX     1.29E+00  1.241E-04  2.56E-17
                            Auger MNN  2.92E+00  3.962E-04  1.85E-16
                            Auger MNX  6.65E-02  4.696E-04  5.00E-18
                            Auger MXY  1.08E-04  6.290E-04  1.09E-20
                            CK NNX     3.99E+00  3.037E-05  1.94E-17
                            Auger NXY  1.16E+01  1.133E-05  2.11E-17
                                                      Total 1.68E-15
Sb-119  38.19 h EC          Auger KLL  7.95E-02  2.093E-02  2.67E-16
                            Auger KLX  3.39E-02  2.442E-02  1.32E-16
                            Auger KXY  3.46E-03  2.790E-02  1.55E-17
                            CK LLX     4.81E-01  3.094E-04  2.38E-17
