                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
                            L1-N5  5.38E-09  3.014E-03  2.60E-24
                            L1-O2  8.00E-09  3.015E-03  3.87E-24
                            L2-N1  2.87E-11  1.203E-04  5.53E-28
                            L2-N3  1.37E-05  2.264E-03  4.96E-21
                            L2-N4  1.40E-07  2.373E-03  5.33E-23
                            L2-N6  1.50E-04  2.531E-03  6.10E-20
                            L2-O1  1.15E-06  2.722E-03  5.03E-22
                            L2-O3  6.46E-09  2.751E-03  2.85E-24
                            L2-O4  6.76E-06  2.790E-03  3.02E-21
                            L3-N5  1.39E-04  2.144E-03  4.79E-20
                            L3-N6  6.06E-07  2.232E-03  2.17E-22
                            L3-N7  5.75E-07  2.253E-03  2.07E-22
                            L3-O1  9.82E-05  2.411E-03  3.79E-20
                            L3-O2  8.72E-04  2.415E-03  3.37E-19
                            L3-O3  7.44E-06  2.602E-03  3.10E-21
                            L3-O4  2.13E-08  2.628E-03  8.99E-24
                            L3-O5  2.04E-08  2.631E-03  8.59E-24
                            L3-O6  4.36E-06  2.670E-03  1.86E-21
                            L3-O7  3.85E-05  2.670E-03  1.65E-20
                            M3-M5  3.17E-05  2.511E-04  1.28E-21
                            M3-N1  5.29E-07  3.275E-05  2.78E-24
                            M3-N5  3.16E-01  7.874E-06  3.99E-19
                                                  Total 1.91E-15
Tc-96   4.28 d EC           K -L2  1.91E-01  1.734E-02  5.31E-16
                            K -L3  3.64E-01  1.744E-02  1.02E-15
                            K -M2  2.97E-02  1.956E-02  9.30E-17
                            K -M3  5.78E-02  1.957E-02  1.81E-16
                            K -M4  1.44E-04  1.972E-02  4.55E-19
                            K -M5  2.04E-04  1.973E-02  6.44E-19
                            L -M4  5.48E-03  1.992E-02  1.75E-17
                            L -M5  1.06E-02  1.992E-02  3.37E-17
                            K -N2  5.79E-06  1.996E-02  1.85E-20
                            K -N3  8.10E-06  1.996E-02  2.59E-20
                            L1-L3  2.89E-06  2.170E-04  1.00E-22
                            L1-M2  1.86E-05  3.255E-04  9.69E-22
                            L1-M3  4.07E-04  2.437E-03  1.59E-19
                            L1-M4  7.00E-04  2.455E-03  2.75E-19
                            L1-M5  3.50E-06  2.606E-03  1.46E-21
                            L1-N2  5.21E-06  2.609E-03  2.18E-21
                            L1-N3  6.34E-05  2.801E-03  2.85E-20
                            L1-N4  1.10E-04  2.804E-03  4.94E-20
                            L1-N5  1.07E-07  2.840E-03  4.85E-23
                            L1-O2  1.58E-07  2.840E-03  7.21E-23
                            L2-N1  1.61E-09  1.085E-04  2.80E-26
                            L2-N3  9.32E-04  2.135E-03  3.19E-19
                            L2-N4  9.14E-06  2.238E-03  3.28E-21
                            L2-N6  9.63E-03  2.389E-03  3.69E-18
                            L2-O1  7.37E-05  2.560E-03  3.02E-20
                            L2-O3  3.80E-07  2.587E-03  1.57E-22
                            L2-O4  3.31E-04  2.623E-03  1.39E-19
                            L3-N5  3.47E-03  2.027E-03  1.13E-18
                            L3-N6  1.47E-05  2.111E-03  4.99E-21
                            L3-N7  1.39E-05  2.129E-03  4.76E-21
                            L3-O1  2.35E-03  2.281E-03  8.58E-19
                            L3-O2  2.09E-02  2.284E-03  7.63E-18
                            L3-O3  1.76E-04  2.451E-03  6.92E-20
                            L3-O4  4.69E-07  2.476E-03  1.86E-22
                            L3-O5  4.49E-07  2.479E-03  1.78E-22
                            L3-O6  7.99E-05  2.514E-03  3.22E-20
                            L3-O7  7.05E-04  2.514E-03  2.84E-19
                            M3-M5  7.84E-04  2.251E-04  2.83E-20
                            M3-N1  1.28E-05  2.944E-05  6.06E-23
                            M3-N5  1.01E+01  6.848E-06  1.11E-17
                                                  Total 1.90E-15
Tc-97m  90.1 d IT           K -L2  1.41E-01  1.821E-02  4.11E-16
                            K -L3  2.68E-01  1.833E-02  7.86E-16
                            K -M2  2.21E-02  2.057E-02  7.30E-17
                            K -M3  4.31E-02  2.059E-02  1.42E-16
                            K -M4  1.16E-04  2.074E-02  3.84E-19
                            K -M5  1.63E-04  2.075E-02  5.42E-19
                            L -M4  4.27E-03  2.096E-02  1.43E-17
                            L -M5  8.21E-03  2.097E-02  2.76E-17
                            K -N2  6.11E-06  2.100E-02  2.06E-20
                            K -N3  8.53E-06  2.100E-02  2.87E-20
                            L1-L3  2.83E-06  2.245E-04  1.02E-22
                            L1-M2  1.88E-05  3.448E-04  1.04E-21
                            L1-M3  4.41E-04  2.577E-03  1.82E-19
                            L1-M4  7.54E-04  2.597E-03  3.14E-19
                            L1-M5  4.00E-06  2.755E-03  1.77E-21
                            L1-N2  5.97E-06  2.759E-03  2.64E-21
                            L1-N3  7.12E-05  2.973E-03  3.39E-20
                            L1-N4  1.23E-04  2.976E-03  5.86E-20
                            L1-N5  1.58E-07  3.014E-03  7.63E-23
                            L1-O2  2.35E-07  3.015E-03  1.14E-22
                            L2-N1  1.63E-09  1.203E-04  3.15E-26
                            L2-N3  7.80E-04  2.264E-03  2.83E-19
                            L2-N4  7.98E-06  2.373E-03  3.03E-21
                            L2-N6  8.57E-03  2.531E-03  3.48E-18
                            L2-O1  6.57E-05  2.722E-03  2.87E-20
                            L2-O3  3.68E-07  2.751E-03  1.62E-22
                            L2-O4  3.85E-04  2.790E-03  1.72E-19
                            L3-N5  3.48E-03  2.144E-03  1.20E-18
                            L3-N6  1.52E-05  2.232E-03  5.42E-21
                            L3-N7  1.44E-05  2.253E-03  5.19E-21
                            L3-O1  2.46E-03  2.411E-03  9.49E-19
                            L3-O2  2.18E-02  2.415E-03  8.44E-18
                            L3-O3  1.86E-04  2.602E-03  7.76E-20
                            L3-O4  5.34E-07  2.628E-03  2.25E-22
                            L3-O5  5.10E-07  2.631E-03  2.15E-22
                            L3-O6  1.09E-04  2.670E-03  4.66E-20
                            L3-O7  9.62E-04  2.670E-03  4.12E-19
                            M3-M5  8.95E-04  2.508E-04  3.60E-20
                            M3-N1  1.51E-05  3.280E-05  7.92E-23
                            M3-N5  8.97E+00  7.876E-06  1.13E-17
                                                  Total 1.48E-15
Tc-99   211100 y B+         K -L2  1.75E-06  1.912E-02  5.37E-21
                            K -L3  3.32E-06  1.925E-02  1.02E-20
                            K -M2  2.79E-07  2.160E-02  9.65E-22
                            K -M3  5.42E-07  2.163E-02  1.88E-21
                            K -M4  1.56E-09  2.179E-02  5.44E-24
                            K -M5  2.19E-09  2.180E-02  7.66E-24
                            L -M4  5.46E-08  2.203E-02  1.93E-22
                            L -M5  1.05E-07  2.204E-02  3.71E-22
                            K -N2  1.04E-10  2.208E-02  3.67E-25
                            K -N3  1.44E-10  2.208E-02  5.11E-25
                            L1-L3  2.06E-11  2.321E-04  7.64E-28
                            L1-M2  1.43E-10  3.652E-04  8.37E-27
                            L1-M3  3.57E-09  2.722E-03  1.56E-24
                            L1-M4  6.07E-09  2.745E-03  2.67E-24
                            L1-M5  3.42E-11  2.909E-03  1.59E-26
                            L1-N2  5.09E-11  2.914E-03  2.38E-26
                            L1-N3  5.95E-10  3.150E-03  3.00E-25
                            L1-N4  1.02E-09  3.153E-03  5.15E-25
                            L1-N5  1.67E-12  3.195E-03  8.57E-28
                            L1-O2  2.49E-12  3.195E-03  1.28E-27
                            L2-N1  2.47E-14  1.331E-04  5.27E-31
                            L2-N3  9.74E-09  2.398E-03  3.74E-24
                            L2-N4  1.04E-10  2.512E-03  4.19E-26
                            L2-N6  1.13E-07  2.677E-03  4.87E-23
                            L2-O1  8.74E-10  2.890E-03  4.04E-25
                            L2-O3  5.28E-12  2.921E-03  2.47E-27
                            L2-O4  6.38E-09  2.963E-03  3.03E-24
                            L3-N5  3.46E-08  2.265E-03  1.26E-23
                            L3-N6  1.54E-10  2.357E-03  5.83E-26
                            L3-N7  1.46E-10  2.379E-03  5.57E-26
                            L3-O1  2.54E-08  2.544E-03  1.03E-23
                            L3-O2  2.25E-07  2.549E-03  9.19E-23
                            L3-O3  1.94E-09  2.757E-03  8.59E-25
                            L3-O4  5.97E-12  2.785E-03  2.66E-27
                            L3-O5  5.69E-12  2.788E-03  2.54E-27
                            L3-O6  1.41E-09  2.830E-03  6.38E-25
                            L3-O7  1.24E-08  2.830E-03  5.63E-24
                            M3-M5  1.08E-08  2.779E-04  4.80E-25
                            M3-N1  1.86E-10  3.635E-05  1.08E-27
                            M3-N5  8.45E-05  8.910E-06  1.21E-22
                                                  Total 1.93E-20
Tc-99m  6.015 h B+ IT       K -L2  2.14E-02  1.821E-02  6.23E-17
                            K -L3  4.06E-02  1.833E-02  1.19E-16
                            K -M2  3.36E-03  2.057E-02  1.11E-17
                            K -M3  6.53E-03  2.059E-02  2.16E-17
                            K -M4  1.75E-05  2.074E-02  5.82E-20
                            K -M5  2.47E-05  2.075E-02  8.22E-20
                            L -M4  6.48E-04  2.096E-02  2.18E-18
                            L -M5  1.24E-03  2.097E-02  4.18E-18
                            K -N2  9.27E-07  2.100E-02  3.12E-21
                            K -N3  1.29E-06  2.100E-02  4.35E-21
                            L1-L3  2.90E-07  2.245E-04  1.04E-23
                            L1-M2  1.93E-06  3.448E-04  1.07E-22
                            L1-M3  4.53E-05  2.577E-03  1.87E-20
                            L1-M4  7.74E-05  2.597E-03  3.22E-20
                            L1-M5  4.11E-07  2.755E-03  1.81E-22
                            L1-N2  6.12E-07  2.759E-03  2.71E-22
                            L1-N3  7.31E-06  2.973E-03  3.48E-21
                            L1-N4  1.26E-05  2.976E-03  6.01E-21
                            L1-N5  1.62E-08  3.014E-03  7.84E-24
                            L1-O2  2.41E-08  3.015E-03  1.17E-23
                            L2-N1  2.19E-10  1.203E-04  4.23E-27
                            L2-N3  1.05E-04  2.264E-03  3.80E-20
                            L2-N4  1.07E-06  2.373E-03  4.07E-22
                            L2-N6  1.15E-03  2.531E-03  4.67E-19
                            L2-O1  8.82E-06  2.722E-03  3.85E-21
                            L2-O3  4.94E-08  2.751E-03  2.18E-23
                            L2-O4  5.17E-05  2.790E-03  2.31E-20
                            L3-N5  3.90E-04  2.144E-03  1.34E-19
                            L3-N6  1.70E-06  2.232E-03  6.08E-22
                            L3-N7  1.61E-06  2.253E-03  5.81E-22
                            L3-O1  2.75E-04  2.411E-03  1.06E-19
                            L3-O2  2.44E-03  2.415E-03  9.45E-19
                            L3-O3  2.09E-05  2.602E-03  8.69E-21
                            L3-O4  5.98E-08  2.628E-03  2.52E-23
                            L3-O5  5.71E-08  2.631E-03  2.41E-23
                            L3-O6  1.22E-05  2.670E-03  5.23E-21
                            L3-O7  1.08E-04  2.670E-03  4.61E-20
                            M3-M5  6.91E-04  2.538E-04  2.81E-20
                            M3-N1  9.07E-06  3.315E-05  4.82E-23
                            M3-N5  5.50E+00  7.877E-06  6.94E-18
                            K -L2  2.79E-06  1.912E-02  8.53E-21
                            K -L3  5.29E-06  1.925E-02  1.63E-20
                            K -M2  4.44E-07  2.160E-02  1.54E-21
                            K -M3  8.63E-07  2.163E-02  2.99E-21
                            K -M4  2.48E-09  2.179E-02  8.65E-24
                            K -M5  3.49E-09  2.180E-02  1.22E-23
                            L -M4  8.69E-08  2.203E-02  3.07E-22
                            L -M5  1.67E-07  2.204E-02  5.91E-22
                            K -N2  1.65E-10  2.208E-02  5.84E-25
                            K -N3  2.30E-10  2.208E-02  8.13E-25
                            L1-L3  3.27E-11  2.321E-04  1.22E-27
                            L1-M2  2.28E-10  3.652E-04  1.33E-26
                            L1-M3  5.69E-09  2.722E-03  2.48E-24
                            L1-M4  9.66E-09  2.745E-03  4.25E-24
                            L1-M5  5.44E-11  2.909E-03  2.53E-26
                            L1-N2  8.10E-11  2.914E-03  3.78E-26
                            L1-N3  9.47E-10  3.150E-03  4.78E-25
                            L1-N4  1.62E-09  3.153E-03  8.20E-25
                            L1-N5  2.66E-12  3.195E-03  1.36E-27
                            L1-O2  3.97E-12  3.195E-03  2.03E-27
                            L2-N1  3.93E-14  1.331E-04  8.39E-31
                            L2-N3  1.55E-08  2.398E-03  5.95E-24
                            L2-N4  1.65E-10  2.512E-03  6.66E-26
                            L2-N6  1.80E-07  2.677E-03  7.74E-23
                            L2-O1  1.39E-09  2.890E-03  6.43E-25
                            L2-O3  8.39E-12  2.921E-03  3.93E-27
                            L2-O4  1.01E-08  2.963E-03  4.81E-24
                            L3-N5  5.50E-08  2.265E-03  2.00E-23
                            L3-N6  2.45E-10  2.357E-03  9.27E-26
                            L3-N7  2.32E-10  2.379E-03  8.85E-26
                            L3-O1  4.03E-08  2.544E-03  1.64E-23
                            L3-O2  3.58E-07  2.549E-03  1.46E-22
                            L3-O3  3.09E-09  2.757E-03  1.37E-24
                            L3-O4  9.49E-12  2.785E-03  4.23E-27
                            L3-O5  9.05E-12  2.788E-03  4.04E-27
                            L3-O6  2.24E-09  2.830E-03  1.01E-24
                            L3-O7  1.97E-08  2.830E-03  8.95E-24
                            M3-M5  1.71E-08  2.779E-04  7.63E-25
                            M3-N1  2.96E-10  3.635E-05  1.72E-27
                            M3-N5  1.34E-04  8.910E-06  1.92E-22
                                                  Total 2.30E-16
Ru-97   2.9 d EC            K -L2  2.02E-01  1.821E-02  5.90E-16
                            K -L3  3.85E-01  1.833E-02  1.13E-15
                            K -M2  3.18E-02  2.057E-02  1.05E-16
                            K -M3  6.19E-02  2.059E-02  2.04E-16
                            K -M4  1.66E-04  2.074E-02  5.51E-19
                            K -M5  2.34E-04  2.075E-02  7.78E-19
                            L -M4  6.14E-03  2.096E-02  2.06E-17
                            L -M5  1.18E-02  2.097E-02  3.96E-17
                            K -N2  8.78E-06  2.100E-02  2.95E-20
                            K -N3  1.22E-05  2.100E-02  4.12E-20
                            L1-L3  2.88E-06  2.245E-04  1.04E-22
                            L1-M2  1.92E-05  3.448E-04  1.06E-21
                            L1-M3  4.49E-04  2.577E-03  1.85E-19
                            L1-M4  7.68E-04  2.597E-03  3.20E-19
                            L1-M5  4.08E-06  2.755E-03  1.80E-21
                            L1-N2  6.07E-06  2.759E-03  2.69E-21
                            L1-N3  7.25E-05  2.973E-03  3.45E-20
                            L1-N4  1.25E-04  2.976E-03  5.96E-20
                            L1-N5  1.61E-07  3.014E-03  7.77E-23
                            L1-O2  2.39E-07  3.015E-03  1.16E-22
                            L2-N1  2.04E-09  1.203E-04  3.94E-26
                            L2-N3  9.74E-04  2.264E-03  3.54E-19
                            L2-N4  9.98E-06  2.373E-03  3.79E-21
                            L2-N6  1.07E-02  2.531E-03  4.34E-18
                            L2-O1  8.21E-05  2.722E-03  3.58E-20
                            L2-O3  4.60E-07  2.751E-03  2.03E-22
                            L2-O4  4.82E-04  2.790E-03  2.15E-19
                            L3-N5  3.68E-03  2.144E-03  1.27E-18
                            L3-N6  1.60E-05  2.232E-03  5.73E-21
                            L3-N7  1.52E-05  2.253E-03  5.49E-21
                            L3-O1  2.60E-03  2.411E-03  1.00E-18
                            L3-O2  2.31E-02  2.415E-03  8.92E-18
                            L3-O3  1.97E-04  2.602E-03  8.20E-20
                            L3-O4  5.64E-07  2.628E-03  2.38E-22
                            L3-O5  5.39E-07  2.631E-03  2.27E-22
                            L3-O6  1.15E-04  2.670E-03  4.93E-20
                            L3-O7  1.02E-03  2.670E-03  4.35E-19
                            M3-M5  9.75E-04  2.507E-04  3.92E-20
                            M3-N1  1.64E-05  3.282E-05  8.61E-23
                            M3-N5  9.76E+00  7.876E-06  1.23E-17
                                                  Total 2.12E-15
Ru-103  39.26 d B+          K -L2  3.00E-03  2.004E-02  9.63E-18
                            K -L3  5.68E-03  2.019E-02  1.84E-17
                            K -M2  4.83E-04  2.267E-02  1.75E-18
                            K -M3  9.39E-04  2.270E-02  3.42E-18
                            K -M4  2.88E-06  2.287E-02  1.06E-20
                            K -M5  4.05E-06  2.287E-02  1.48E-20
                            L -M4  9.61E-05  2.313E-02  3.56E-19
                            L -M5  1.86E-04  2.314E-02  6.88E-19
                            K -N2  2.34E-07  2.318E-02  8.70E-22
                            K -N3  3.25E-07  2.318E-02  1.21E-21
                            L1-L3  3.79E-08  2.397E-04  1.46E-24
                            L1-M2  2.79E-07  3.867E-04  1.73E-23
                            L1-M3  7.45E-06  2.871E-03  3.43E-21
                            L1-M4  1.26E-05  2.897E-03  5.84E-21
                            L1-M5  7.48E-08  3.068E-03  3.68E-23
                            L1-N2  1.12E-07  3.073E-03  5.50E-23
                            L1-N3  1.27E-06  3.332E-03  6.80E-22
                            L1-N4  2.17E-06  3.336E-03  1.16E-21
                            L1-N5  4.42E-09  3.381E-03  2.39E-24
                            L1-O2  6.58E-09  3.381E-03  3.56E-24
                            L2-N1  4.40E-11  1.470E-04  1.04E-27
                            L2-N3  1.44E-05  2.536E-03  5.83E-21
                            L2-N4  1.60E-07  2.657E-03  6.80E-23
                            L2-N6  1.77E-04  2.828E-03  8.03E-20
                            L2-O1  1.37E-06  3.063E-03  6.72E-22
                            L2-O3  8.90E-09  3.097E-03  4.41E-24
                            L2-O4  1.21E-05  3.141E-03  6.08E-21
                            L3-N5  5.51E-05  2.389E-03  2.11E-20
                            L3-N6  2.52E-07  2.484E-03  1.00E-22
                            L3-N7  2.38E-07  2.510E-03  9.56E-23
                            L3-O1  4.19E-05  2.681E-03  1.80E-20
                            L3-O2  3.72E-04  2.687E-03  1.60E-19
                            L3-O3  3.25E-06  2.916E-03  1.52E-21
                            L3-O4  1.06E-08  2.946E-03  5.01E-24
                            L3-O5  1.01E-08  2.950E-03  4.78E-24
                            L3-O6  2.81E-06  2.994E-03  1.35E-21
                            L3-O7  2.48E-05  2.995E-03  1.19E-20
                            M3-M5  1.97E-05  3.065E-04  9.68E-22
                            M3-N1  3.56E-07  3.994E-05  2.28E-24
                            M3-N5  1.24E-01  9.958E-06  1.99E-19
                                                  Total 3.48E-17
Ru-105  4.44 h B+           K -L2  3.59E-02  2.004E-02  1.15E-16
                            K -L3  6.79E-02  2.019E-02  2.20E-16
                            K -M2  5.77E-03  2.267E-02  2.10E-17
                            K -M3  1.12E-02  2.270E-02  4.08E-17
                            K -M4  3.44E-05  2.287E-02  1.26E-19
                            K -M5  4.83E-05  2.287E-02  1.77E-19
                            L -M4  1.15E-03  2.313E-02  4.25E-18
                            L -M5  2.22E-03  2.314E-02  8.22E-18
                            K -N2  2.80E-06  2.318E-02  1.04E-20
                            K -N3  3.88E-06  2.318E-02  1.44E-20
                            L1-L3  4.00E-07  2.397E-04  1.54E-23
                            L1-M2  2.95E-06  3.867E-04  1.83E-22
                            L1-M3  7.87E-05  2.871E-03  3.62E-20
                            L1-M4  1.33E-04  2.897E-03  6.16E-20
                            L1-M5  7.90E-07  3.068E-03  3.88E-22
                            L1-N2  1.18E-06  3.073E-03  5.80E-22
                            L1-N3  1.35E-05  3.332E-03  7.18E-21
                            L1-N4  2.29E-05  3.336E-03  1.23E-20
                            L1-N5  4.66E-08  3.381E-03  2.53E-23
                            L1-O2  6.95E-08  3.381E-03  3.76E-23
                            L2-N1  7.77E-10  1.470E-04  1.83E-26
                            L2-N3  2.54E-04  2.536E-03  1.03E-19
                            L2-N4  2.82E-06  2.657E-03  1.20E-21
                            L2-N6  3.13E-03  2.828E-03  1.42E-18
                            L2-O1  2.42E-05  3.063E-03  1.19E-20
                            L2-O3  1.57E-07  3.097E-03  7.80E-23
                            L2-O4  2.13E-04  3.141E-03  1.07E-19
                            L3-N5  8.13E-04  2.389E-03  3.11E-19
                            L3-N6  3.71E-06  2.484E-03  1.48E-21
                            L3-N7  3.50E-06  2.510E-03  1.41E-21
                            L3-O1  6.17E-04  2.681E-03  2.65E-19
                            L3-O2  5.48E-03  2.687E-03  2.36E-18
                            L3-O3  4.80E-05  2.916E-03  2.24E-20
                            L3-O4  1.57E-07  2.946E-03  7.39E-23
                            L3-O5  1.49E-07  2.950E-03  7.05E-23
                            L3-O6  4.15E-05  2.994E-03  1.99E-20
                            L3-O7  3.66E-04  2.995E-03  1.75E-19
                            M3-M5  3.03E-04  3.065E-04  1.49E-20
                            M3-N1  5.40E-06  4.000E-05  3.46E-23
                            M3-N5  1.89E+00  9.959E-06  3.02E-18
                                                  Total 4.17E-16
Rh-100  20.8 h EC B-        K -L2  1.91E-01  1.912E-02  5.86E-16
                            K -L3  3.63E-01  1.925E-02  1.12E-15
                            K -M2  3.05E-02  2.160E-02  1.05E-16
                            K -M3  5.93E-02  2.163E-02  2.05E-16
                            K -M4  1.70E-04  2.179E-02  5.94E-19
                            K -M5  2.39E-04  2.180E-02  8.36E-19
                            L -M4  5.97E-03  2.203E-02  2.11E-17
                            L -M5  1.15E-02  2.204E-02  4.06E-17
                            K -N2  1.13E-05  2.208E-02  4.01E-20
                            K -N3  1.58E-05  2.208E-02  5.58E-20
                            L1-L3  2.67E-06  2.321E-04  9.91E-23
                            L1-M2  1.86E-05  3.652E-04  1.09E-21
                            L1-M3  4.64E-04  2.722E-03  2.02E-19
                            L1-M4  7.87E-04  2.745E-03  3.46E-19
                            L1-M5  4.43E-06  2.909E-03  2.06E-21
                            L1-N2  6.60E-06  2.914E-03  3.08E-21
                            L1-N3  7.72E-05  3.150E-03  3.89E-20
                            L1-N4  1.32E-04  3.153E-03  6.68E-20
                            L1-N5  2.17E-07  3.195E-03  1.11E-22
                            L1-O2  3.23E-07  3.195E-03  1.66E-22
                            L2-N1  2.32E-09  1.331E-04  4.95E-26
                            L2-N3  9.13E-04  2.398E-03  3.51E-19
                            L2-N4  9.75E-06  2.512E-03  3.93E-21
                            L2-N6  1.06E-02  2.677E-03  4.56E-18
                            L2-O1  8.19E-05  2.890E-03  3.79E-20
                            L2-O3  4.95E-07  2.921E-03  2.32E-22
                            L2-O4  5.98E-04  2.963E-03  2.84E-19
                            L3-N5  3.52E-03  2.265E-03  1.28E-18
                            L3-N6  1.57E-05  2.357E-03  5.92E-21
                            L3-N7  1.48E-05  2.379E-03  5.66E-21
                            L3-O1  2.58E-03  2.544E-03  1.05E-18
                            L3-O2  2.29E-02  2.549E-03  9.34E-18
                            L3-O3  1.98E-04  2.757E-03  8.73E-20
                            L3-O4  6.06E-07  2.785E-03  2.71E-22
                            L3-O5  5.79E-07  2.788E-03  2.58E-22
                            L3-O6  1.43E-04  2.830E-03  6.48E-20
                            L3-O7  1.26E-03  2.830E-03  5.72E-19
                            M3-M5  1.09E-03  2.780E-04  4.84E-20
                            M3-N1  1.89E-05  3.632E-05  1.10E-22
                            M3-N5  8.58E+00  8.909E-06  1.23E-17
                                                  Total 2.11E-15
Rh-103m 56.114 m IT         K -L2  2.12E-02  2.004E-02  6.82E-17
                            K -L3  4.02E-02  2.019E-02  1.30E-16
                            K -M2  3.42E-03  2.267E-02  1.24E-17
                            K -M3  6.65E-03  2.270E-02  2.42E-17
                            K -M4  2.04E-05  2.287E-02  7.48E-20
                            K -M5  2.86E-05  2.287E-02  1.05E-19
                            L -M4  6.80E-04  2.313E-02  2.52E-18
                            L -M5  1.31E-03  2.314E-02  4.87E-18
                            K -N2  1.66E-06  2.318E-02  6.16E-21
                            K -N3  2.30E-06  2.318E-02  8.54E-21
                            L1-L3  1.94E-07  2.397E-04  7.46E-24
                            L1-M2  1.43E-06  3.867E-04  8.87E-23
                            L1-M3  3.82E-05  2.871E-03  1.76E-20
                            L1-M4  6.44E-05  2.897E-03  2.99E-20
                            L1-M5  3.83E-07  3.068E-03  1.89E-22
                            L1-N2  5.72E-07  3.073E-03  2.82E-22
                            L1-N3  6.53E-06  3.332E-03  3.49E-21
                            L1-N4  1.11E-05  3.336E-03  5.95E-21
                            L1-N5  2.26E-08  3.381E-03  1.23E-23
                            L1-O2  3.37E-08  3.381E-03  1.83E-23
                            L2-N1  3.31E-09  1.470E-04  7.79E-26
                            L2-N3  1.08E-03  2.536E-03  4.39E-19
                            L2-N4  1.20E-05  2.657E-03  5.12E-21
                            L2-N6  1.33E-02  2.828E-03  6.05E-18
                            L2-O1  1.03E-04  3.063E-03  5.05E-20
                            L2-O3  6.70E-07  3.097E-03  3.32E-22
                            L2-O4  9.09E-04  3.141E-03  4.58E-19
                            L3-N5  2.89E-03  2.389E-03  1.10E-18
                            L3-N6  1.32E-05  2.484E-03  5.24E-21
                            L3-N7  1.24E-05  2.510E-03  5.01E-21
                            L3-O1  2.19E-03  2.681E-03  9.42E-19
                            L3-O2  1.95E-02  2.687E-03  8.38E-18
                            L3-O3  1.70E-04  2.916E-03  7.96E-20
                            L3-O4  5.56E-07  2.946E-03  2.62E-22
                            L3-O5  5.30E-07  2.950E-03  2.51E-22
                            L3-O6  1.47E-04  2.994E-03  7.07E-20
                            L3-O7  1.30E-03  2.995E-03  6.23E-19
                            M3-M5  1.12E-03  3.067E-04  5.53E-20
                            M3-N1  1.96E-05  4.009E-05  1.26E-22
                            M3-N5  6.87E+00  9.960E-06  1.10E-17
                                                  Total 2.72E-16
Rh-105  35.36 h B+          K -L2  1.19E-03  2.099E-02  4.01E-18
                            K -L3  2.25E-03  2.115E-02  7.63E-18
                            K -M2  1.94E-04  2.377E-02  7.38E-19
                            K -M3  3.77E-04  2.379E-02  1.44E-18
                            K -M4  1.23E-06  2.397E-02  4.74E-21
                            K -M5  1.72E-06  2.398E-02  6.63E-21
                            L -M4  3.92E-05  2.426E-02  1.52E-19
                            L -M5  7.59E-05  2.427E-02  2.95E-19
                            K -N2  1.23E-07  2.431E-02  4.78E-22
                            K -N3  1.69E-07  2.431E-02  6.58E-22
                            L1-L3  1.50E-08  2.474E-04  5.95E-25
                            L1-M2  1.17E-07  4.094E-04  7.69E-24
                            L1-M3  3.44E-06  3.025E-03  1.67E-21
                            L1-M4  5.76E-06  3.053E-03  2.82E-21
                            L1-M5  3.62E-08  3.232E-03  1.88E-23
                            L1-N2  5.40E-08  3.237E-03  2.80E-23
                            L1-N3  5.96E-07  3.520E-03  3.36E-22
                            L1-N4  1.01E-06  3.525E-03  5.69E-22
                            L1-N5  2.59E-09  3.572E-03  1.48E-24
                            L1-O2  3.84E-09  3.572E-03  2.20E-24
                            L2-N1  2.12E-11  1.620E-04  5.50E-28
                            L2-N3  5.70E-06  2.678E-03  2.45E-21
                            L2-N4  6.56E-08  2.806E-03  2.95E-23
                            L2-N6  7.38E-05  2.984E-03  3.53E-20
                            L2-O1  5.72E-07  3.242E-03  2.97E-22
                            L2-O3  3.94E-09  3.278E-03  2.07E-24
                            L2-O4  6.13E-06  3.324E-03  3.27E-21
                            L3-N5  2.20E-05  2.516E-03  8.87E-21
                            L3-N6  1.03E-07  2.615E-03  4.31E-23
                            L3-N7  9.70E-08  2.644E-03  4.11E-23
                            L3-O1  1.73E-05  2.822E-03  7.81E-21
                            L3-O2  1.53E-04  2.828E-03  6.95E-20
                            L3-O3  1.36E-06  3.080E-03  6.73E-22
                            L3-O4  4.66E-09  3.111E-03  2.32E-24
                            L3-O5  4.43E-09  3.116E-03  2.21E-24
                            L3-O6  1.42E-06  3.162E-03  7.17E-22
                            L3-O7  1.24E-05  3.163E-03  6.29E-21
                            M3-M5  9.09E-06  3.362E-04  4.90E-22
                            M3-N1  1.69E-07  4.309E-05  1.17E-24
                            M3-N5  4.63E-02  7.859E-06  5.83E-20
                                                  Total 1.45E-17
Pd-100  3.63 d EC           K -L2  3.63E-01  2.004E-02  1.17E-15
                            K -L3  6.88E-01  2.019E-02  2.22E-15
                            K -M2  5.85E-02  2.267E-02  2.12E-16
                            K -M3  1.14E-01  2.270E-02  4.14E-16
                            K -M4  3.49E-04  2.287E-02  1.28E-18
                            K -M5  4.90E-04  2.287E-02  1.80E-18
                            L -M4  1.16E-02  2.313E-02  4.31E-17
                            L -M5  2.25E-02  2.314E-02  8.33E-17
                            K -N2  2.84E-05  2.318E-02  1.05E-19
                            K -N3  3.93E-05  2.318E-02  1.46E-19
                            L1-L3  5.01E-06  2.397E-04  1.92E-22
                            L1-M2  3.69E-05  3.867E-04  2.29E-21
