                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
                            L1-L3  1.05E-06  5.324E-05  9.00E-24
                            L1-M2  2.59E-06  5.457E-05  2.26E-23
                            L1-M3  2.48E-07  2.156E-04  8.57E-24
                            L1-M4  4.17E-07  2.157E-04  1.44E-23
                            L2-N1  2.69E-15  1.330E-06  5.74E-34
                            L2-N3  2.25E-06  1.518E-04  5.48E-23
                            L2-N4  3.75E-10  1.625E-04  9.76E-27
                            L3-N5  4.16E-06  1.504E-04  1.00E-22
                            L3-N6  3.44E-10  1.611E-04  8.87E-27
                            L3-N7  3.39E-10  1.612E-04  8.74E-27
                            M3-N5  7.46E-02  1.291E-05  1.54E-19
                                                  Total 6.37E-19
Cl-38   37.24 m B+          K -L2  3.19E-07  2.928E-03  1.50E-22
                            K -L3  6.30E-07  2.931E-03  2.96E-22
                            K -M2  2.61E-08  3.163E-03  1.32E-23
                            K -M3  5.15E-08  3.163E-03  2.61E-23
                            L1-L3  4.83E-10  6.400E-05  4.95E-27
                            L1-M2  1.30E-09  6.634E-05  1.38E-26
                            L1-M3  3.77E-10  2.988E-04  1.81E-26
                            L1-M4  5.95E-10  2.990E-04  2.85E-26
                            L2-N1  1.01E-17  2.340E-06  3.77E-36
                            L2-N3  3.11E-09  2.205E-04  1.10E-25
                            L2-N4  1.34E-12  2.350E-04  5.04E-29
                            L3-N5  5.73E-09  2.182E-04  2.00E-25
                            L3-N6  1.22E-12  2.325E-04  4.55E-29
                            L3-N7  1.20E-12  2.327E-04  4.47E-29
                            M3-N5  3.76E-05  1.698E-05  1.02E-22
                                                  Total 5.87E-22
Ar-37   35.04 d EC          K -L2  2.69E-02  2.595E-03  1.12E-17
                            K -L3  5.33E-02  2.597E-03  2.22E-17
                            K -M2  1.72E-03  2.792E-03  7.68E-19
                            K -M3  3.40E-03  2.793E-03  1.52E-18
                            L1-L3  5.53E-05  5.857E-05  5.19E-22
                            L1-M2  1.42E-04  6.035E-05  1.37E-21
                            L1-M3  2.42E-05  2.556E-04  9.89E-22
                            L1-M4  3.91E-05  2.558E-04  1.60E-21
                            L2-N1  4.02E-13  1.780E-06  1.15E-31
                            L2-N3  2.02E-04  1.846E-04  5.98E-21
                            L2-N4  5.62E-08  1.972E-04  1.78E-24
                            L3-N5  3.73E-04  1.829E-04  1.09E-20
                            L3-N6  5.15E-08  1.953E-04  1.61E-24
                            L3-N7  5.06E-08  1.954E-04  1.58E-24
                            M3-N5  3.89E+00  1.488E-05  9.27E-18
                                                  Total 4.50E-17
K-38    7.636 m EC B-       K -L2  1.70E-04  2.928E-03  7.99E-20
                            K -L3  3.37E-04  2.931E-03  1.58E-19
                            K -M2  1.39E-05  3.163E-03  7.06E-21
                            K -M3  2.75E-05  3.163E-03  1.40E-20
                            L1-L3  2.68E-07  6.400E-05  2.75E-24
                            L1-M2  7.22E-07  6.634E-05  7.67E-24
                            L1-M3  2.09E-07  2.988E-04  1.00E-23
                            L1-M4  3.30E-07  2.990E-04  1.58E-23
                            L2-N1  5.42E-15  2.340E-06  2.03E-33
                            L2-N3  1.68E-06  2.205E-04  5.92E-23
                            L2-N4  7.21E-10  2.350E-04  2.72E-26
                            L3-N5  3.09E-06  2.182E-04  1.08E-22
                            L3-N6  6.58E-10  2.325E-04  2.45E-26
                            L3-N7  6.46E-10  2.327E-04  2.41E-26
                            M3-N5  2.03E-02  1.699E-05  5.53E-20
                                                  Total 3.14E-19
K-40    1.251E+9 y EC B- B+ K -L2  2.96E-03  2.928E-03  1.39E-18
                            K -L3  5.85E-03  2.931E-03  2.75E-18
                            K -M2  2.42E-04  3.163E-03  1.23E-19
                            K -M3  4.79E-04  3.163E-03  2.43E-19
                            L1-L3  5.02E-06  6.400E-05  5.14E-23
                            L1-M2  1.35E-05  6.634E-05  1.44E-22
                            L1-M3  3.92E-06  2.988E-04  1.88E-22
                            L1-M4  6.19E-06  2.990E-04  2.96E-22
                            L2-N1  9.61E-14  2.340E-06  3.60E-32
                            L2-N3  2.97E-05  2.205E-04  1.05E-21
                            L2-N4  1.28E-08  2.350E-04  4.81E-25
                            L3-N5  6.10E-05  2.182E-04  2.13E-21
                            L3-N6  1.30E-08  2.325E-04  4.84E-25
                            L3-N7  1.28E-08  2.327E-04  4.76E-25
                            M3-N5  3.85E-01  1.698E-05  1.05E-18
                                                  Total 5.55E-18
K-42    12.36 h B+          K -L2  8.03E-07  3.656E-03  4.70E-22
                            K -L3  1.58E-06  3.660E-03  9.29E-22
                            K -M2  8.53E-08  3.981E-03  5.44E-23
                            K -M3  1.69E-07  3.981E-03  1.08E-22
                            L1-L3  6.43E-10  7.507E-05  7.74E-27
                            L1-M2  1.90E-09  7.891E-05  2.40E-26
