 120-IODINE-53           HALFLIFE = 81.6 MINUTES 

  MODES OF DECAY: ELECTRON CAPTURE, BETA PLUS
 
                                    MEAN
                                    NUMBER/                  MEV/
                               ID   TRANSFOR-   ENERGY       TRANSFOR-
        TYPE OF RADIATION      NO.  MATION      (MEV)        MATION

 GAMMA-RAY                    152   2.78E-03    4.283E+00    1.19E-02
 GAMMA-RAY                    153   2.09E-03    4.288E+00    8.95E-03
 GAMMA-RAY                    154   1.39E-03    4.413E+00    6.14E-03
 K -L3 X-RAY                        1.30E-01    2.747E-02    3.57E-03
 
 ALL LISTED X-RAYS, GAMMA-RAYS AND ANNIHILATION RADIATION    2.62E+00
 ALL NEGLECTED X-RAYS, GAMMA-RAYS AND ANNIH. RADIATION**     3.95E-02
 ALL LISTED BETAS, INTERNAL CONVERSION AND AUGER ELECTRONS   1.16E+00
 ALL NEGLECTED BETAS, INT. CONVERSION AND AUGER ELECTRONS**  1.03E-02
 ALL LISTED RADIATIONS                                       3.78E+00
 ALL NEGLECTED RADIATIONS**                                  4.97E-02
 
 *  AVERAGE ENERGY (MEV)
 ** EACH NEGLECTED TRANSITION CONTRIBUTES LESS THAN  0.100%
    TO THE TOTAL MEV/TRANSFORMATION FOR THIS CATEGORY.
 TOTAL FEEDING OF GROUND STATE LEVEL IN 120-TELLURIUM
   DAUGHTER IS 1.0000E+00 PER TRANSFORMATION OF 120-IODINE.
   THIS DAUGHTER GROUND STATE IS STABLE.
