 204-BISMUTH-83          HALFLIFE = 11.22 HOURS   

  MODES OF DECAY: ELECTRON CAPTURE, BETA PLUS
 
                                    MEAN
                                    NUMBER/                  MEV/
                               ID   TRANSFOR-   ENERGY       TRANSFOR-
        TYPE OF RADIATION      NO.  MATION      (MEV)        MATION

 GAMMA-RAY                    104   9.53E-03    8.472E-01    8.07E-03
 GAMMA-RAY                    105   8.34E-01    8.992E-01    7.50E-01
 K CONV. ELECTRON, GAMMA-RAY  105   5.46E-03    8.109E-01    4.43E-03
 L1 CONV. ELECTRON, GAMMA-RAY 105   7.95E-04    8.833E-01    7.02E-04
 L2 CONV. ELECTRON, GAMMA-RAY 105   2.52E-04    8.839E-01    2.23E-04
 M CONV. ELECTRON, GAMMA-RAY  105   2.69E-04    8.961E-01*   2.41E-04
 GAMMA-RAY                    107   1.11E-01    9.120E-01    1.01E-01
 K CONV. ELECTRON, GAMMA-RAY  107   2.19E-03    8.237E-01    1.81E-03
 L1 CONV. ELECTRON, GAMMA-RAY 107   3.33E-04    8.961E-01    2.99E-04
 GAMMA-RAY                    108   1.08E-01    9.183E-01    9.92E-02
 K CONV. ELECTRON, GAMMA-RAY  108   6.80E-04    8.300E-01    5.64E-04
 GAMMA-RAY                    120   5.88E-01    9.840E-01    5.78E-01
 K CONV. ELECTRON, GAMMA-RAY  120   1.28E-03    8.957E-01    1.14E-03
 L1 CONV. ELECTRON, GAMMA-RAY 120   1.72E-04    9.681E-01    1.66E-04
 GAMMA-RAY                    121   1.19E-02    9.904E-01    1.18E-02
 GAMMA-RAY                    126   1.27E-02    1.044E+00    1.33E-02
 K CONV. ELECTRON, GAMMA-RAY  126   1.78E-04    9.553E-01    1.70E-04
 GAMMA-RAY                    131   9.53E-03    1.064E+00    1.01E-02
 GAMMA-RAY                    136   1.47E-02    1.111E+00    1.63E-02
 GAMMA-RAY                    139   8.58E-03    1.133E+00    9.72E-03
 GAMMA-RAY                    140   5.56E-03    1.140E+00    6.34E-03
 GAMMA-RAY                    141   5.56E-03    1.140E+00    6.34E-03
 GAMMA-RAY                    143   5.24E-03    1.158E+00    6.07E-03
 GAMMA-RAY                    148   1.99E-02    1.204E+00    2.39E-02
 K CONV. ELECTRON, GAMMA-RAY  148   1.93E-04    1.115E+00    2.16E-04
 GAMMA-RAY                    149   3.02E-02    1.212E+00    3.66E-02
 GAMMA-RAY                    155   2.14E-02    1.275E+00    2.73E-02
 GAMMA-RAY                    161   4.76E-03    1.352E+00    6.44E-03
 GAMMA-RAY                    162   8.73E-03    1.353E+00    1.18E-02
 GAMMA-RAY                    166   9.69E-03    1.415E+00    1.37E-02
 GAMMA-RAY                    176   9.61E-03    1.524E+00    1.46E-02
 GAMMA-RAY                    177   4.13E-03    1.537E+00    6.34E-03
 GAMMA-RAY                    180   3.97E-03    1.589E+00    6.31E-03
 GAMMA-RAY                    184   3.73E-03    1.639E+00    6.12E-03
 GAMMA-RAY                    185   6.91E-03    1.646E+00    1.14E-02
 GAMMA-RAY                    186   5.56E-03    1.652E+00    9.18E-03
 GAMMA-RAY                    187   5.56E-03    1.655E+00    9.20E-03
 GAMMA-RAY                    195   5.80E-03    1.689E+00    9.79E-03
 GAMMA-RAY                    198   1.99E-02    1.703E+00    3.38E-02
 GAMMA-RAY                    201   5.88E-03    1.732E+00    1.02E-02
 GAMMA-RAY                    203   1.22E-02    1.755E+00    2.15E-02
 GAMMA-RAY                    206   3.33E-03    1.780E+00    5.94E-03
 GAMMA-RAY                    212   5.16E-03    1.818E+00    9.38E-03
 GAMMA-RAY                    213   5.56E-03    1.826E+00    1.02E-02
 GAMMA-RAY                    220   1.29E-02    1.896E+00    2.44E-02
